id,year,value1,dmflag1,qcflag1,dsflag1,value2,dmflag2,qcflag2,dsflag2,value3,dmflag3,qcflag3,dsflag3,value4,dmflag4,qcflag4,dsflag4,value5,dmflag5,qcflag5,dsflag5,value6,dmflag6,qcflag6,dsflag6,value7,dmflag7,qcflag7,dsflag7,value8,dmflag8,qcflag8,dsflag8,value9,dmflag9,qcflag9,dsflag9,value10,dmflag10,qcflag10,dsflag10,value11,dmflag11,qcflag11,dsflag11,value12,dmflag12,qcflag12,dsflag12
USH00137161,1922,-294,a, , ,-5,E, , ,779,E, , ,1537,E, , ,2306,E, , ,2768,h, , ,2603,c, , ,2848, , , ,2488, , , ,1968, , , ,844,a, , ,-142,c, , 
USH00137161,1923,12, , , ,-126, , , ,256, , , ,1476,a, , ,2075, , , ,2550,E, , ,3021, , , ,2635, , , ,2322,b, , ,1509, , , ,1004, , , ,560, , , 
USH00137161,1924,-636, , , ,83,E, , ,247,E, , ,1612,b, , ,1739, , , ,2450,f, , ,2634, , , ,2670,E, , ,2078,E, , ,2126, , , ,928, , , ,-693,a, , 
USH00137161,1925,-340, , , ,157,E, , ,1060,E, , ,1997,E, , ,2179,E, , ,2542,c, , ,2970,e, , ,2818,h, , ,2625,a, , ,817, , , ,675, , , ,-287, , , 
USH00137161,1926,-111,b, , ,321,a, , ,449,a, , ,1462, , , ,2448, , , ,2615,E, , ,2928, , , ,2742,f, , ,2075,b, , ,1589,a, , ,341, , , ,-330, , , 
USH00137161,1927,-161, , , ,291, , , ,845,a, , ,1315, , , ,1875, , , ,2525,g, , ,2911,E, , ,2583,E, , ,2466,E, , ,1892,c, , ,658, , , ,-328, , , 
USH00137161,1928,63, , , ,130, , , ,968, , , ,1143, , , ,2267, , , ,2366,E, , ,2832,d, , ,2827, , , ,2174,a, , ,1744, , , ,684, , , ,216,E, , 
USH00137161,1929,-846,E, , ,-598,E, , ,788,a, , ,1574,E, , ,2019,E, , ,2572,E, , ,2898, , , ,2857, , , ,2173, , , ,1644, , , ,402,E, , ,-56, , , 
USH00137161,1930,-823,E, , ,604,E, , ,845, , , ,1723, , , ,2036, , , ,2581, , , ,3235, , , ,2964, , , ,2526,a, , ,1575,a, , ,1032, , , ,4, , , 
USH00137161,1931,249, , , ,708, , , ,630, , , ,1691, , , ,2090, , , ,3010, , , ,3221, , , ,2942, , , ,2712, , , ,1859,a, , ,1082, , , ,373, , , 
USH00137161,1932,-408, , , ,131,E, , ,203, , , ,1511,E,X, ,2344, , , ,2748, , , ,3063, , , ,2790, , , ,2360, , , ,1511, , , ,460, , , ,-283, , , 
USH00137161,1933,379, , , ,-22, , , ,650, , , ,1528, , , ,2164, , , ,3383, , , ,3187, , , ,2685, , , ,2649, , , ,1594, , , ,952, , , ,174, , , 
USH00137161,1934,-12, , , ,166, , , ,732, , , ,1678, , , ,2991, , , ,3219, , , ,3194, , , ,2988, , , ,2200, , , ,2030, , , ,920, , , ,-260, , , 
USH00137161,1935,-310, , , ,168, , , ,954, , , ,1277, , , ,1751, , , ,2426, , , ,3335, , , ,2960, , , ,2494, , , ,1546, , , ,414, , , ,-220, , , 
USH00137161,1936,-935, , , ,-1139, , , ,882, , , ,1368, , , ,2500, , , ,2750, , , ,3672, , , ,3346, , , ,2506, , , ,1574, , , ,652, , , ,83, , , 
USH00137161,1937,-824, , , ,-383, , , ,389, , , ,1237, , , ,2223, , , ,2607, , , ,3136, , , ,3172, , , ,2597,a, , ,1558, , , ,608, , , ,-153, , , 
USH00137161,1938,-263, , , ,48,a, , ,1136, , , ,1512, , , ,2052, , , ,2710, , , ,3114, , , ,3006, , , ,2550, , , ,2272, , , ,749, , , ,75, , , 
USH00137161,1939,146, , , ,-232, , , ,747, , , ,1498, , , ,2720, , , ,2785, , , ,3145, , , ,2768, , , ,2874, , , ,1788, , , ,1093, , , ,509, , , 
USH00137161,1940,-910, , , ,-101, , , ,312, , , ,1331, , , ,2184, , , ,2751, , , ,3118, , , ,2625, , , ,2566, , , ,2089, , , ,416, , , ,39, , , 
USH00137161,1941,-203, , , ,-135, , , ,474, , , ,1707, , , ,2578, , , ,2626, , , ,3039, , , ,3069, , , ,2464, , , ,1738, , , ,856, , , ,339, , , 
USH00137161,1942,-197, , , ,-196, , , ,711, , , ,1972, , , ,2105,a, , ,2619, , , ,2958, , , ,2845, , , ,2125, , , ,1791, , , ,822, , , ,-393, , , 
USH00137161,1943,-572, , , ,265, , , ,468, , , ,1591, , , ,2018, , , ,2743, , , ,3057, , , ,2922, , , ,2190, , , ,1774, , , ,430, , , ,221, , , 
USH00137161,1944,424, , , ,197, , , ,150, , , ,1119, , , ,2361, , , ,2752, , , ,2864, , , ,2725, , , ,2308, , , ,1847, , , ,713, , , ,-280, , , 
USH00137161,1945,-339, , , ,29, , , ,1264, , , ,1386, , , ,1849, , , ,2271, , , ,2914, , , ,2817, , , ,2254, , , ,1761, , , ,694, , , ,-522, , , 
USH00137161,1946,-164,a, , ,243, , , ,1258, , , ,1866, , , ,1904, , , ,2684, , , ,2954, , , ,2668, , , ,2287, , , ,1833,a, , ,764, , , ,220, , , 
USH00137161,1947,116, , , ,-400, , , ,370, , , ,1303, , , ,1907, , , ,2356, , , ,2968, , , ,3413, , , ,2624,a, , ,2181, , , ,333, , , ,-45, , , 
USH00137161,1948,-321, , , ,-2, , , ,441,c, , ,1846, , , ,2143, , , ,2670, , , ,3011, , , ,2969, , , ,2750, , , ,1781, , , ,639, , , ,-59, , , 
USH00137161,1949,-483, , , ,-294, , , ,431, , , ,1603, , , ,2355, , , ,2877, , , ,3128, , , ,2891, , , ,2203, , , ,1889, , , ,1124, , , ,189, , , 
USH00137161,1950,-382, , , ,-105, , , ,336, , , ,1090, , , ,2079, , , ,2623, , , ,2691, , , ,2539, , , ,2418, , , ,2097, , , ,651, , , ,-315, , , 
USH00137161,1951,-348, , , ,-34, , , ,34, , , ,1006, , , ,2197, , , ,2254, , , ,2761, , , ,2685, , , ,2054, , , ,1617, , , ,409, , , ,-317, , , 
USH00137161,1952,-294, , , ,262, , , ,344, , , ,1577, , , ,2084, , , ,2954, , , ,2966, , , ,2667, , , ,2584, , , ,1635, , , ,869, , , ,-100, , , 
USH00137161,1953,-242, , , ,6, , , ,676, , , ,1083, , , ,2120, , , ,2892, , , ,2970, , , ,2926, , , ,2636, , , ,2144, , , ,1087, , , ,273, , , 
USH00137161,1954,-310, , , ,786, , , ,343, , , ,1714, , , ,1926, , , ,2750, , , ,3146, , , ,2691, , , ,2402, , , ,1484, , , ,1065, , , ,104, , , 
USH00137161,1955,-219, , , ,-251, , , ,523, , , ,1987, , , ,2467, , , ,2543, , , ,3248, , , ,3279, , , ,2621, , , ,1865, , , ,411, , , ,-368, , , 
USH00137161,1956,-420, , , ,-61, , , ,602, , , ,1430, , , ,2279, , , ,3137, , , ,2905, , , ,2925, , , ,2523, , , ,2135, , , ,649, , , ,180, , , 
USH00137161,1957,-551, , , ,230, , , ,708, , , ,1504, , , ,1988, , , ,2604, , , ,3138, , , ,2849, , , ,2165, , , ,1420, , , ,477, , , ,261, , , 
USH00137161,1958,-177, , , ,-274, , , ,466, , , ,1518, , , ,2455, , , ,2462, , , ,2614, , , ,2933, , , ,2454, , , ,1994, , , ,1003, , , ,-116, , , 
USH00137161,1959,-427, , , ,-168, , , ,585, , , ,1560, , , ,2173, , , ,2801, , , ,2910, , , ,3096, , , ,2254, , , ,1379, , , ,221, , , ,355, , , 
USH00137161,1960,-358, , , ,-314, , , ,-231, , , ,1578, , , ,2199, , , ,2555, , , ,2904, , , ,2833, , , ,2385, , , ,1861, , , ,990, , , ,-16, , , 
USH00137161,1961,-127,a, , ,211, , , ,535, , , ,1182, , , ,2018, , , ,2681, , , ,2853, , , ,2810, , , ,2154, , , ,1924, , , ,651, , , ,-336, , , 
USH00137161,1962,-522, , , ,-291, , , ,96, , , ,1478, , , ,2464, , , ,2622, , , ,2748, , , ,2801, , , ,2220, , , ,1780, , , ,947, , , ,135, , , 
USH00137161,1963,-778, , , ,-98, , , ,938, , , ,1761, , , ,2114, , , ,2986, , , ,3016, , , ,2732, , , ,2411, , , ,2406, , , ,1139, , , ,-451, , , 
USH00137161,1964,226, , , ,475, , , ,470, , , ,1560, , , ,2544, , , ,2731, , , ,3154, , , ,2650, , , ,2291, , , ,1761, , , ,990, , , ,-208, , , 
USH00137161,1965,-319, , , ,-198, , , ,-157, , , ,1365, , , ,2492, , , ,2691, , , ,3005, , , ,2829, , , ,1940, , , ,1886, , , ,906, , , ,456, , , 
USH00137161,1966,-677, , , ,86, , , ,1082, , , ,1209, , , ,2180, , , ,2697, , , ,3125, , , ,2708, , , ,2360, , , ,1879, , , ,777, , , ,4, , , 
USH00137161,1967,-29, , , ,-16, , , ,1106, , , ,1718, , , ,2029, , , ,2571, , , ,2822, , , ,2765, , , ,2295, , , ,1610, , , ,721, , , ,170, , , 
USH00137161,1968,-239, , , ,-26, , , ,1356, , , ,1750, , , ,2052, , , ,2858, , , ,2851, , , ,2813, , , ,2307, , , ,1808, , , ,608, , , ,-224,a, , 
USH00137161,1969,-617, , , ,-124, , , ,47, , , ,1590, , , ,2303, , , ,2481, , , ,2913, , , ,2890, , , ,2376, , , ,1478, , , ,866, , , ,-210, , , 
USH00137161,1970,-798, , , ,133, , , ,301, , , ,1622, , , ,2436, , , ,2850, , , ,3031, , , ,2814, , , ,2390, , , ,1497, , , ,603, , , ,-22, , , 
USH00137161,1971,-576, , , ,-132, , , ,421, , , ,1699, , , ,2131, , , ,3121, , , ,2875, , , ,2958, , , ,2553, , , ,1861, , , ,743, , , ,-46, , , 
USH00137161,1972,-472, , , ,-362, , , ,681, , , ,1390, , , ,2201, , , ,2718, , , ,2787, , , ,2742, , , ,2310, , , ,1404, , , ,409, , , ,-451, , , 
USH00137161,1973,-258, , , ,-24, , , ,905, , , ,1477, , , ,2034, , , ,2876, , , ,2852, , , ,2858, , , ,2181, , , ,1956, , , ,723, , , ,-273, , , 
USH00137161,1974,-465, , , ,95, , , ,827, , , ,1657, , , ,2000, , , ,2673, , , ,3247, , , ,2555, , , ,2218, , , ,1807, , , ,720, , , ,-2, , , 
USH00137161,1975,-274, , , ,-310, , , ,136, , , ,1088, , , ,2403, , , ,2623, , , ,3045, , , ,2968, , , ,2142, , , ,2115, , , ,953, , , ,41, , , 
USH00137161,1976,-33, , , ,678, , , ,751, , , ,1860, , , ,2163, , , ,2791, , , ,3069, , , ,3021, , , ,2567, , , ,1389, , , ,550, , , ,-99, , , 
USH00137161,1977,-739, , , ,466, , , ,1066, , , ,1966, , , ,2622, , , ,2890, , , ,3134, , , ,2604, , , ,2360, , , ,1489, , , ,617, , , ,-242, , , 
USH00137161,1978,-834, , , ,-571, , , ,591, , , ,1420, , , ,2145, , , ,2777, , , ,2842, , , ,2808, , , ,2675, , , ,1669, , , ,528, , , ,-365, , , 
USH00137161,1979,-1158, , , ,-699, , , ,310, , , ,1186, , , ,2181, , , ,2765,a, , ,2826, , , ,2706, , , ,2502, , , ,1727, , , ,552, , , ,387, , , 
USH00137161,1980,-247, , , ,-256, , , ,523, , , ,1697, , , ,2338, , , ,2764, , , ,3117,a, , ,2818, , , ,2524, , , ,1574, , , ,1085, , , ,43, , , 
USH00137161,1981,181, , , ,329, , , ,1181, , , ,1934, , , ,2143, , , ,2868, , , ,2817, , , ,2642, , , ,2468, , , ,1436, , , ,903, , , ,-189, , , 
USH00137161,1982,-915, , , ,-180,a, , ,519, , , ,1310, , , ,2159, , , ,2464, , , ,2926, , , ,2669, , , ,2184, , , ,1708, , , ,588, , , ,142, , , 
USH00137161,1983,-164, , , ,139, , , ,518, , , ,1038, , , ,2003, , , ,2624, , , ,3071, , , ,3145, , , ,2519, , , ,1559, , , ,532, , , ,-1064, , , 
USH00137161,1984,-380, , , ,366, , , ,184, , , ,1228, , , ,2002, , , ,2715, , , ,2916, , , ,3031, , , ,2312, , , ,1644, , , ,840, , , ,79, , , 
USH00137161,1985,-308, , , ,-140, , , ,999, , , ,1836, , , ,2443, , , ,2658, , , ,2934, , , ,2684,a, , ,2190, , , ,1612, , , ,81, , , ,-608, , , 
USH00137161,1986,59, , , ,-266, , , ,1078, , , ,1698, , , ,2205, , , ,2754, , , ,2961, , , ,2530, , , ,2351, , , ,1628,a, , ,478, , , ,-45, , , 
USH00137161,1987,135, , , ,789, , , ,1024, , , ,1919, , , ,2603, , , ,3003, , , ,3011,c, , ,2515,e, , ,2351, , , ,1503, , , ,929, , , ,68, , , 
USH00137161,1988,-463, , , ,-188, , , ,1135, , , ,1653, , , ,2670, , , ,3152, , , ,3035, , , ,3101, , , ,2506, , , ,1439, , , ,744, , , ,172, , , 
USH00137161,1989,272, , , ,-459, , , ,535, , , ,1720, , , ,2293, , , ,2647, , , ,2969, , , ,2824, , , ,2302, , , ,1839, , , ,681, , , ,-537, , , 
USH00137161,1990,490, , , ,376, , , ,910, , , ,1607, , , ,1981, , , ,2743, , , ,2729, , , ,2735, , , ,2524, , , ,1794, , , ,1042, , , ,-269, , , 
USH00137161,1991,-620, , , ,279, , , ,932, , , ,1598, , , ,2216, , , ,2819, , , ,2892, , , ,2751, , , ,2237, , , ,1630, , , ,50, , , ,51, , , 
USH00137161,1992,166, , , ,321, , , ,937, , , ,1377, , , ,2309, , , ,2693, , , ,2481, , , ,2449, , , ,2294, , , ,1669, , , ,303, , , ,-63, , , 
USH00137161,1993,-509, , , ,-521, , , ,241, , , ,1228, , , ,2041, , , ,2462, , , ,2635, , , ,2631, , , ,1950, , , ,1516, , , ,544, , , ,-38, , , 
USH00137161,1994,-876, , , ,-422, , , ,962, , , ,1699, , , ,2318, , , ,2753,E,X, ,2659,E,X, ,2630,E,X, ,2446,E,X, ,1751,E,X, ,826,E,X, ,-10,E,X, 
USH00137161,1995,-428,E,X, ,91,E,X, ,662,E,X, ,1248,E,X, ,1939,E,X, ,2676,E,X, ,2977, , , ,3064,b, , ,2286,d, , ,1616,c, , ,359, , , ,-33, , , 
